,Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
̴61,2018-12-29T11:15:00,2,1,rescuetime.com,Intelligence,0
62,2018-12-29T11:15:00,2,1,instagram.com,General Social Networking,-2
63,2018-12-29T11:15:00,1,1,Preview,General Reference & Learning,2
64,2018-12-29T11:15:00,1,1,map.baidu.com,Maps & Regional,-2
65,2018-12-29T11:15:00,1,1,Finder,General Utilities,0
66,2018-12-29T11:20:00,184,1,youtube.com,Video,-2
67,2018-12-29T11:20:00,104,1,att.com,General Business,2
68,2018-12-29T11:20:00,12,1,Preview,General Reference & Learning,2
69,2018-12-29T11:25:00,300,1,att.com,General Business,2
70,2018-12-29T11:30:00,242,1,att.com,General Business,2
71,2018-12-29T11:30:00,34,1,youtube.com,Video,-2
72,2018-12-29T11:30:00,24,1,wechat,General Social Networking,-2
73,2018-12-29T11:35:00,182,1,att.com,General Business,2
74,2018-12-29T11:35:00,105,1,youtube.com,Video,-2
75,2018-12-29T11:35:00,12,1,Finder,General Utilities,0
76,2018-12-29T11:40:00,254,1,wechat,General Social Networking,-2
77,2018-12-29T11:40:00,46,1,att.com,General Business,2
78,2018-12-29T11:45:00,202,1,att.com,General Business,2
79,2018-12-29T11:45:00,98,1,messages,General Social Networking,-2
80,2018-12-29T11:50:00,287,1,att.com,General Business,2
81,2018-12-29T11:50:00,12,1,messages,General Social Networking,-2
82,2018-12-29T11:50:00,1,1,wechat,General Social Networking,-2
83,2018-12-29T11:55:00,165,1,att.com,General Business,2
84,2018-12-29T11:55:00,87,1,wechat,General Social Networking,-2
85,2018-12-29T11:55:00,32,1,youtube.com,Video,-2
86,2018-12-29T11:55:00,11,1,usernotificationcenter,General Utilities,0
87,2018-12-29T11:55:00,4,1,messages,General Social Networking,-2
88,2018-12-29T12:00:00,37,1,att.com,General Business,2
89,2018-12-29T12:05:00,165,1,youtube.com,Video,-2
90,2018-12-29T12:05:00,23,1,photos,Photos,0
91,2018-12-29T12:05:00,3,1,Notes,Email,0
92,2018-12-29T12:05:00,2,1,wechat,General Social Networking,-2
93,2018-12-29T12:10:00,250,1,youtube.com,Video,-2
94,2018-12-29T12:10:00,25,1,studio.youtube.com,Video Editing,2
95,2018-12-29T12:10:00,25,1,wechat,General Social Networking,-2
96,2018-12-29T12:15:00,295,1,youtube.com,Video,-2
97,2018-12-29T12:15:00,5,1,wechat,General Social Networking,-2
98,2018-12-29T12:20:00,258,1,youtube.com,Video,-2
99,2018-12-29T12:20:00,42,1,wechat,General Social Networking,-2
100,2018-12-29T12:25:00,244,1,youtube.com,Video,-2
101,2018-12-29T12:25:00,56,1,messages,General Social Networking,-2
102,2018-12-29T12:30:00,300,1,youtube.com,Video,-2
103,2018-12-29T12:35:00,282,1,youtube.com,Video,-2
104,2018-12-29T12:35:00,8,1,studio.youtube.com,Video Editing,2
105,2018-12-29T12:35:00,7,1,Mail,Email,2
106,2018-12-29T12:35:00,2,1,messages,General Social Networking,-2
107,2018-12-29T12:35:00,1,1,Finder,General Utilities,0
108,2018-12-29T12:40:00,300,1,youtube.com,Video,-2
109,2018-12-29T12:45:00,300,1,youtube.com,Video,-2
110,2018-12-29T12:50:00,240,1,youtube.com,Video,-2
111,2018-12-29T23:55:00,79,1,tools.usps.com,General Business,2
112,2018-12-29T23:55:00,5,1,youtube.com,Video,-2
113,2018-12-29T23:55:00,4,1,expressvpn,General Utilities,1
114,2018-12-29T23:55:00,2,1,att.com,General Business,2
115,2018-12-29T23:55:00,1,1,loginwindow,General Utilities,0
0,2018-12-30T09:25:00,72,1,tools.usps.com,General Business,2
1,2018-12-30T09:25:00,17,1,expressvpn,General Utilities,1
2,2018-12-30T09:25:00,9,1,Notes,Email,0
3,2018-12-30T09:25:00,6,1,messenger.com,General Social Networking,-2
4,2018-12-30T09:25:00,5,1,theglobeandmail.com,General News & Opinion,-2
5,2018-12-30T09:25:00,1,1,loginwindow,General Utilities,0
6,2018-12-30T09:25:00,1,1,youtube.com,Video,-2
7,2018-12-30T12:05:00,36,1,loginwindow,General Utilities,0
8,2018-12-30T12:10:00,174,1,youtube.com,Video,-2
9,2018-12-30T12:10:00,98,1,wechat,General Social Networking,-2
10,2018-12-30T12:10:00,3,1,loginwindow,General Utilities,0
11,2018-12-30T12:10:00,2,1,youtu.be,Video,-2
12,2018-12-30T12:15:00,211,1,youtube.com,Video,-2
13,2018-12-30T12:15:00,89,1,wechat,General Social Networking,-2
14,2018-12-30T12:20:00,297,1,youtube.com,Video,-2
15,2018-12-30T12:20:00,2,1,wechat,General Social Networking,-2
16,2018-12-30T12:20:00,1,1,youtu.be,Video,-2
17,2018-12-30T12:25:00,296,1,youtube.com,Video,-2
18,2018-12-30T12:25:00,3,1,youtu.be,Video,-2
19,2018-12-30T12:25:00,1,1,wechat,General Social Networking,-2
20,2018-12-30T12:30:00,281,1,youtube.com,Video,-2
21,2018-12-30T12:30:00,19,1,studio.youtube.com,Video Editing,2
22,2018-12-30T12:35:00,300,1,youtube.com,Video,-2
23,2018-12-30T12:40:00,300,1,youtube.com,Video,-2
24,2018-12-30T12:45:00,300,1,youtube.com,Video,-2
25,2018-12-30T12:50:00,148,1,youtube.com,Video,-2
26,2018-12-30T14:05:00,243,1,youtube.com,Video,-2
27,2018-12-30T14:10:00,83,1,youtube.com,Video,-2
28,2018-12-30T14:15:00,217,1,quicktime player,General Entertainment,-1
29,2018-12-30T14:15:00,65,1,youtube.com,Video,-2
30,2018-12-30T14:15:00,18,1,Finder,General Utilities,0
31,2018-12-30T14:20:00,294,1,quicktime player,General Entertainment,-1
32,2018-12-30T14:20:00,6,1,Finder,General Utilities,0
33,2018-12-30T14:25:00,58,1,quicktime player,General Entertainment,-1
34,2018-12-30T14:25:00,42,1,Finder,General Utilities,0
0,2019-01-01T23:25:00,67,1,Terminal,Systems Operations,2
1,2019-01-01T23:30:00,300,1,Terminal,Systems Operations,2
2,2019-01-01T23:35:00,294,1,Terminal,Systems Operations,2
3,2019-01-01T23:35:00,6,1,Mail,Email,2
4,2019-01-01T23:40:00,43,1,Terminal,Systems Operations,2
5,2019-01-01T23:40:00,1,1,loginwindow,General Utilities,0
0,2019-01-02T03:20:00,47,1,quicktime player,General Entertainment,-1
1,2019-01-02T03:20:00,19,1,loginwindow,General Utilities,0
2,2019-01-02T03:25:00,92,1,apple.com,Engineering & Technology,-1
3,2019-01-02T03:25:00,46,1,marriott.com,Travel & Outdoors,-2
4,2019-01-02T03:25:00,45,1,thebeijinger.com,General News & Opinion,-2
5,2019-01-02T03:25:00,21,1,quicktime player,General Entertainment,-1
6,2019-01-02T03:25:00,11,1,youtube.com,Video,-2
7,2019-01-02T03:25:00,11,1,hsia-acentic.com,Uncategorized,0
8,2019-01-02T03:25:00,3,1,sublime text,Editing & IDEs,2
0,2019-01-05T22:25:00,117,1,Terminal,Systems Operations,2
1,2019-01-05T22:25:00,84,1,Notes,Email,0
2,2019-01-05T22:25:00,16,1,marriott.com,Travel & Outdoors,-2
3,2019-01-05T22:25:00,4,1,google.com,Search,2
4,2019-01-05T22:25:00,2,1,hsia-acentic.com,Uncategorized,0
5,2019-01-05T22:25:00,1,1,Finder,General Utilities,0
6,2019-01-05T22:25:00,1,1,calendar,Calendars,1
7,2019-01-05T22:30:00,188,1,Notes,Email,0
8,2019-01-05T22:30:00,24,1,timeanddate.com,Intelligence,2
9,2019-01-05T22:30:00,7,1,google.com,Search,2
10,2019-01-05T22:30:00,1,1,calendar,Calendars,1
11,2019-01-05T22:35:00,290,1,Notes,Email,0
12,2019-01-05T22:35:00,7,1,map.baidu.com,Maps & Regional,-2
13,2019-01-05T22:35:00,3,1,google.com,Search,2
14,2019-01-05T22:40:00,205,1,map.baidu.com,Maps & Regional,-2
15,2019-01-05T22:40:00,90,1,Notes,Email,0
16,2019-01-05T22:40:00,5,1,timeanddate.com,Intelligence,2
17,2019-01-05T22:45:00,281,1,Notes,Email,0
18,2019-01-05T22:45:00,19,1,map.baidu.com,Maps & Regional,-2
19,2019-01-05T22:50:00,282,1,Notes,Email,0
20,2019-01-05T22:50:00,18,1,map.baidu.com,Maps & Regional,-2
21,2019-01-05T22:55:00,244,1,Notes,Email,0
22,2019-01-05T22:55:00,56,1,map.baidu.com,Maps & Regional,-2
23,2019-01-05T23:00:00,215,1,Notes,Email,0
24,2019-01-05T23:00:00,85,1,map.baidu.com,Maps & Regional,-2