,Activity,Time Spent (seconds),H:M:S,Category,Productivity
1,Xcode,78834,21:53:54,Editing & IDEs,2
2,youtube.com,45324,12:35:24,Video,-2
3,Terminal,42195,11:43:15,Systems Operations,2
4,Slack,34948,9:42:28,Instant Message,2
5,github.com,28091,7:48:11,General Software Development,2
6,sublime text,25589,7:6:29,Editing & IDEs,2
7,wechat,25395,7:3:15,General Social Networking,-2
8,google.com,20989,5:49:49,Search,2
9,tw.iqiyi.com,19336,5:22:16,Video,-2
10,Google Spreadsheets,13765,3:49:25,General Business,2
11,jira.braze.com,13060,3:37:40,Design & Planning,2
12,en.wikipedia.org,12642,3:30:42,General Reference & Learning,1
13,Gmail,12366,3:26:6,Email,2
14,screensaverengine,11428,3:10:28,General Utilities,0
15,facetime,9625,2:40:25,Voice Chat,-2
16,amazon.com,8935,2:28:55,General Shopping,-1
17,messenger.com,7701,2:8:21,General Social Networking,-2
18,stackoverflow.com,7143,1:59:3,General Software Development,2
19,google.com/calendar,6745,1:52:25,Calendars,2
20,sweeney.braze.com,5899,1:38:19,General Software Development,2
21,Google Documents,5437,1:30:37,Writing,2
22,rescuetime.com,4867,1:21:7,Intelligence,0
23,braze.exceedlms.com,4842,1:20:42,General Reference & Learning,2
24,developer.apple.com,4798,1:19:58,Engineering & Technology,1
25,usr56.dayforcehcm.com,4765,1:19:25,General Business,2
26,iqiyi.com,4434,1:13:54,Video,-2
27,messages,4409,1:13:29,General Social Networking,-2
28,thebeijinger.com,4348,1:12:28,General News & Opinion,-2
29,Notes,4282,1:11:22,Email,0
30,9to5mac.com,4264,1:11:4,General News & Opinion,-2
31,dashboard-01.braze.com,3530,0:58:50,General Software Development,2
32,geoguessr.com,3327,0:55:27,Games,-2
33,united.com,3215,0:53:35,Travel & Outdoors,-2
34,Mail,2933,0:48:53,Email,2
35,Google Forms,2695,0:44:55,General Business,2
36,photos,2583,0:43:3,Photos,0
37,secure.bankofamerica.com,2571,0:42:51,Accounting,2
38,mbvans.com,2444,0:40:44,Uncategorized,0
39,loginwindow,2395,0:39:55,General Utilities,0
40,Finder,2108,0:35:8,General Utilities,0
41,simulator,2066,0:34:26,General Software Development,2
42,gaoloumi.cc,2037,0:33:57,General News & Opinion,-2
43,aa.com,2008,0:33:28,Travel & Outdoors,-2
44,map.baidu.com,1998,0:33:18,Maps & Regional,-2
45,ditiezu.com,1940,0:32:20,Uncategorized,0
46,drive.google.com,1915,0:31:55,General Business,2
47,Preview,1905,0:31:45,General Reference & Learning,2
48,firehose.guide,1672,0:27:52,General Communication & Scheduling,2
49,tripadvisor.com,1658,0:27:38,Travel & Outdoors,-2
50,lastpass,1611,0:26:51,General Utilities,1
51,yelp.com,1409,0:23:29,Search,0
52,airbnb.com.sg,1400,0:23:20,Uncategorized,0
53,hotels.united.com,1352,0:22:32,Travel & Outdoors,-2
54,bilibili.com,1345,0:22:25,Video,-2
55,notability,1265,0:21:5,Writing,2
56,classpass.com,1241,0:20:41,Uncategorized,0
57,newtab,1210,0:20:10,Browsers,0
58,TextEdit,1163,0:19:23,Writing,2
59,cocoadevcentral.com,1157,0:19:17,General Software Development,2
60,student.mit.edu,1120,0:18:40,General Reference & Learning,1
61,cnn.com,1069,0:17:49,General News & Opinion,2
62,confluence.braze.com,1031,0:17:11,Uncategorized,0
63,scmp.com,992,0:16:32,General News & Opinion,-2
64,linkedin.com,941,0:15:41,Professional Networking,1
65,baike.baidu.com,873,0:14:33,Search,0
66,pandas.pydata.org,853,0:14:13,Engineering & Technology,1
67,sprinter-source.com,828,0:13:48,General Reference & Learning,1
68,braze.bamboohr.com,816,0:13:36,General Business,2
69,opentable.com,811,0:13:31,Travel & Outdoors,-2
70,casper.com,777,0:12:57,General Shopping,-2
71,flarespace.com,745,0:12:25,Uncategorized,0
72,freedomvans.co,728,0:12:8,Uncategorized,0
73,apple.com,683,0:11:23,Engineering & Technology,-1
74,planetfitness.com,680,0:11:20,General Reference & Learning,1
75,facebook.com,671,0:11:11,General Social Networking,-2
76,thrillist.com,651,0:10:51,General News & Opinion,-2
77,reddit.com,635,0:10:35,General News & Opinion,-2
78,thewaywardhome.com,620,0:10:20,Uncategorized,0
79,wanderu.com,613,0:10:13,General Reference & Learning,1
80,vice.com,602,0:10:2,General Entertainment,-2
81,servicedesk.braze.com,600,0:10:0,Uncategorized,0
82,theguardian.com,600,0:10:0,General News & Opinion,-2
83,timeoutbeijing.com,599,0:9:59,Uncategorized,0
84,forbes.com,597,0:9:57,General News & Opinion,-2
85,vacationidea.com,594,0:9:54,Travel & Outdoors,-2
86,register.ymcanyc.org,589,0:9:49,Sales,2
87,tools.usps.com,548,0:9:8,General Business,2
88,gnomadhome.com,540,0:9:0,Uncategorized,0
89,campervan-hq.com,536,0:8:56,Uncategorized,0
90,skyscrapercity.com,535,0:8:55,General News & Opinion,-2
91,highya.com,501,0:8:21,General Reference & Learning,1
92,dashboard.buddybuild.com,483,0:8:3,General Software Development,2
93,System Preferences,478,0:7:58,General Utilities,0
94,airbnb.com,476,0:7:56,Travel & Outdoors,-2
95,samchui.com,474,0:7:54,Uncategorized,0
96,cnbc.com,465,0:7:45,Business,-1
97,eecs.mit.edu,457,0:7:37,General Reference & Learning,1
98,alexanderguo.com,453,0:7:33,General Design & Composition,2
99,braze.com,452,0:7:32,Uncategorized,0
100,ft.com,447,0:7:27,General News & Opinion,-2
101,search.bilibili.com,436,0:7:16,Video,-2
102,baijiahao.baidu.com,427,0:7:7,Search,0
103,lostplate.com,419,0:6:59,Uncategorized,0
104,untourfoodtours.com,415,0:6:55,Uncategorized,0
105,geeksforgeeks.org,378,0:6:18,Operations,2
106,icloud.com,370,0:6:10,General Software Development,2
107,bloomberg.com,367,0:6:7,Business,-1
108,registrar.mit.edu,365,0:6:5,Presentation,2
109,baidu.com,357,0:5:57,Search,2
110,publishersweekly.com,355,0:5:55,Intelligence,2
111,hdokiejnpimakedhajhdlcegeplioahd,353,0:5:53,General Utilities,1
112,nationalinterest.org,352,0:5:52,General News & Opinion,-2
113,help.rescuetime.com,352,0:5:52,General Reference & Learning,0
114,maps,341,0:5:41,Maps & Regional,1
115,ny.cheapinthecity.com,329,0:5:29,Uncategorized,0
116,braze.mypolicies.com,319,0:5:19,Uncategorized,0
117,nytimes.com,314,0:5:14,General News & Opinion,-2
118,espn.com,311,0:5:11,Sports,-1
119,calendar,305,0:5:5,Calendars,1
120,asiatimes.com,301,0:5:1,Uncategorized,0
121,history,301,0:5:1,Browsers,0
122,outsidevan.com,301,0:5:1,Uncategorized,0
123,bearfoottheory.com,293,0:4:53,Uncategorized,0
124,businessinsider.com,286,0:4:46,General News & Opinion,-2
125,jacksonparklic.com,285,0:4:45,Uncategorized,0
126,tutorialspoint.com,281,0:4:41,General Reference & Learning,1
127,info.crunch.com,279,0:4:39,Uncategorized,0
128,iTunes,279,0:4:39,Music,0
129,counterpunch.org,277,0:4:37,General News & Opinion,-2
130,medium.com,267,0:4:27,General News & Opinion,-2
131,web.mit.edu,260,0:4:20,General Reference & Learning,2
132,storeuid,258,0:4:18,General Utilities,1
133,zh.wikipedia.org,251,0:4:11,Search,0
134,thecrazytourist.com,249,0:4:9,Uncategorized,0
135,airchina.com.cn,246,0:4:6,General News & Opinion,-2
136,cargurus.com,243,0:4:3,General Shopping,-2
137,guides.rubyonrails.org,242,0:4:2,Engineering & Technology,1
138,catalog.mit.edu,239,0:3:59,Presentation,2
139,sohu.com,239,0:3:59,General News & Opinion,-2
140,dimensions.guide,238,0:3:58,Uncategorized,0
141,passengerterminaltoday.com,230,0:3:50,Uncategorized,0
142,wsj.com,224,0:3:44,General News & Opinion,-2
143,frommers.com,222,0:3:42,Travel & Outdoors,-2
144,mytourig.com,222,0:3:42,Uncategorized,0
145,help.github.com,220,0:3:40,Systems Operations,2
146,uncommongoods.com,219,0:3:39,General Shopping,-2
147,techcrunch.com,216,0:3:36,Science & Technology,-1
148,thatsmags.com,210,0:3:30,Uncategorized,0
149,bbc.com,199,0:3:19,General News & Opinion,-2
150,hst.mit.edu,196,0:3:16,General Reference & Learning,1
151,accounts.google.com,195,0:3:15,General Communication & Scheduling,0
152,macrumors.com,194,0:3:14,General News & Opinion,-2
153,asia.nikkei.com,192,0:3:12,General News & Opinion,-2
154,foreignpolicy.com,191,0:3:11,General News & Opinion,-2
155,oleandercycles.bm,187,0:3:7,Uncategorized,0
156,chrisalbon.com,186,0:3:6,General Reference & Learning,1
157,cocoapods.org,183,0:3:3,General Software Development,2
158,creative cloud,182,0:3:2,General Design & Composition,2
159,bakersfield.com,182,0:3:2,Regional,-2
160,bankofamerica.com,181,0:3:1,General Business,2
161,foxtrotalpha.jalopnik.com,180,0:3:0,Entertainment,-2
162,washingtonpost.com,179,0:2:59,General News & Opinion,-2
163,roadslesstraveled.us,178,0:2:58,Uncategorized,0
164,expressvpn,174,0:2:54,General Utilities,1
165,ph.ucla.edu,174,0:2:54,General Reference & Learning,1
166,microsoft word,173,0:2:53,Writing,2
167,ymcanyc.org,170,0:2:50,Sales,2
168,naturalwireless.com,169,0:2:49,Uncategorized,0
169,dianping.com,166,0:2:46,Search,0
170,newbloommag.net,163,0:2:43,Uncategorized,0
171,qz.com,163,0:2:43,General News & Opinion,-2
172,assets.mbvans.com,162,0:2:42,Uncategorized,0
173,mystatus.united.com,162,0:2:42,Travel & Outdoors,-2
174,claypotnyc.com,162,0:2:42,Uncategorized,0
175,quora.com,162,0:2:42,General Reference & Learning,-1
176,trailkitchens.com,160,0:2:40,Uncategorized,0
177,nationalgeographic.co.uk,158,0:2:38,Uncategorized,0
178,en.greatfire.org,158,0:2:38,Uncategorized,0
179,users,158,0:2:38,General Software Development,2
180,creditcards.chase.com,158,0:2:38,Accounting,2
181,gss0.bdstatic.com,157,0:2:37,Uncategorized,0
182,democraticunderground.com,156,0:2:36,General News & Opinion,-2
183,womansday.com,156,0:2:36,General News & Opinion,-2
184,cosmopolitan.com,153,0:2:33,Business & Finance,1
185,sellercentral.amazon.com,152,0:2:32,General Business,2
186,new.mta.info,148,0:2:28,Travel & Outdoors,-2
187,freightwaves.com,147,0:2:27,Uncategorized,0
188,sprinter-rv.com,146,0:2:26,Uncategorized,0
189,latimes.com,145,0:2:25,General News & Opinion,-2
190,lastpass.com,143,0:2:23,General Utilities,1
191,realpython.com,142,0:2:22,Engineering & Technology,1
192,cloudwards.net,141,0:2:21,Uncategorized,0
193,greenmatch.co.uk,139,0:2:19,Uncategorized,0
194,space.bilibili.com,132,0:2:12,Video,-2
195,parkedinparadise.com,132,0:2:12,Uncategorized,0
196,cleantechnica.com,131,0:2:11,General News & Opinion,-2
197,app store,130,0:2:10,General Shopping,-2
198,strandbooks.com,129,0:2:9,General Entertainment,-2
199,fifa.com,128,0:2:8,Sports,-1
200,2019-worldpride-stonewall50.nycpride.org,128,0:2:8,Uncategorized,0
201,johnnyjet.com,126,0:2:6,Travel & Outdoors,-2
202,theglobetrottingteacher.com,126,0:2:6,Uncategorized,0
203,secure.touchnet.net,126,0:2:6,General Business,2
204,streeteasy.com,125,0:2:5,Home & Garden,0
205,powerhousegym.com,125,0:2:5,Uncategorized,0
206,meet.google.com,124,0:2:4,Search,0
207,askmen.com,123,0:2:3,Search,0
208,theatlantic.com,123,0:2:3,General News & Opinion,-2
209,coreservicesuiagent,123,0:2:3,General Utilities,0
210,cbc.ca,122,0:2:2,General News & Opinion,-2
211,newsweek.com,120,0:2:0,General News & Opinion,-2
212,mattressfirm.com,118,0:1:58,General Shopping,-2
213,teamtreehouse.com,118,0:1:58,Engineering & Technology,1
214,cheatsheet.com,114,0:1:54,General News & Opinion,-2
215,reuters.com,113,0:1:53,General News & Opinion,-2
216,express.co.uk,112,0:1:52,General Utilities,1
217,macworld.com,108,0:1:48,Science & Technology,-1
218,variety.com,107,0:1:47,General News & Opinion,-2
219,boltbus.com,107,0:1:47,Travel & Outdoors,-2
220,nbcnews.com,105,0:1:45,General News & Opinion,-2
221,shine.cn,104,0:1:44,Uncategorized,0
222,flexfits.com,104,0:1:44,Uncategorized,0
223,newyorksportsclubs.com,104,0:1:44,Uncategorized,0
224,websitesetup.org,103,0:1:43,Uncategorized,0
225,researchgate.net,101,0:1:41,Professional Networking,1
226,thewanderingrv.com,101,0:1:41,Uncategorized,0
227,thepointsguy.com,99,0:1:39,Travel & Outdoors,-2
228,barnesandnoble.com,99,0:1:39,General Shopping,-2
229,digitaltrends.com,98,0:1:38,Engineering & Technology,1
230,channelnewsasia.com,96,0:1:36,General News & Opinion,-2
231,theexplorercard.com,94,0:1:34,Uncategorized,0
232,markets.businessinsider.com,93,0:1:33,General News & Opinion,-2
233,caixinglobal.com,93,0:1:33,Uncategorized,0
234,bermuda.com,93,0:1:33,Uncategorized,0
235,ibubblog.wordpress.com,91,0:1:31,General News & Opinion,-2
236,dusp.mit.edu,90,0:1:30,General Reference & Learning,1
237,Safari,89,0:1:29,Browsers,2
238,deadline.com,88,0:1:28,Business,-1
239,movie.douban.com,88,0:1:28,Video,-2
240,support.google.com,87,0:1:27,General News & Opinion,2
241,finance.yahoo.com,87,0:1:27,General News & Opinion,-2
242,system information,85,0:1:25,General Utilities,0
243,cointelegraph.com,85,0:1:25,Uncategorized,0
244,grechmotors.com,83,0:1:23,Uncategorized,0
245,planet-fitness.pissedconsumer.com,82,0:1:22,Uncategorized,0
246,nypost.com,82,0:1:22,General News & Opinion,-2
247,time.com,81,0:1:21,General News & Opinion,-2
248,minitool.com,80,0:1:20,Uncategorized,0
249,weather.com,78,0:1:18,Travel & Outdoors,-2
250,wallpaper.com,78,0:1:18,Uncategorized,0
251,whatsonweibo.com,78,0:1:18,Uncategorized,0
252,keychain access,77,0:1:17,Systems Operations,2
253,expedia.com,76,0:1:16,Travel & Outdoors,-2
254,bestcompany.com,76,0:1:16,Uncategorized,0
255,eduapps.mit.edu,75,0:1:15,Presentation,2
256,forums.macrumors.com,75,0:1:15,General News & Opinion,-2
257,technologyreview.com,73,0:1:13,General Reference & Learning,1
258,cluechase.com,73,0:1:13,Uncategorized,0
259,iosdevelopertips.com,72,0:1:12,Engineering & Technology,1
260,sm-cloud.com,72,0:1:12,Uncategorized,0
261,chocolatefactorytheater.org,71,0:1:11,Uncategorized,0
262,so.iqiyi.com,70,0:1:10,Video,-2
263,member.citibikenyc.com,70,0:1:10,Uncategorized,0
264,learningenglish.voanews.com,70,0:1:10,General Reference & Learning,1
265,dramapanda.com,70,0:1:10,Uncategorized,0
266,stores.casper.com,69,0:1:9,General Shopping,-2
267,pcmag.com,69,0:1:9,Science & Technology,-1
